Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
2008 Financial,67,2008-09-15,0.85,250,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,68,2008-09-15,0.85,250,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,69,2008-09-15,0.85,300,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,70,2008-09-15,0.85,300,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,71,2008-09-15,0.85,300,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,72,2008-09-15,0.85,300,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,73,2008-09-15,0.85,350,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,74,2008-09-15,0.85,350,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,75,2008-09-15,0.85,350,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,76,2008-09-15,0.85,350,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,77,2008-09-15,0.85,400,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,78,2008-09-15,0.85,400,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Brittle,Ductile,No
