,rho,psi,omega,rho_norm,psi_norm,omega_norm,stress,pi
2008-04-18,0.050000000000000266,0.050000000000000044,8696.775214285713,0.17857142857142952,0.30864197530864135,1.0759888897485301,0.059302738632525,0.7811129863556515
2008-04-21,0.07000000000000028,0.04999999999999982,8707.565185714286,0.250000000000001,0.30864197530863996,1.0773238546167465,0.083126840634008,0.7814428547708658
2008-04-22,0.3800000000000001,0.030000000000000027,8711.161842857142,1.3571428571428574,0.18518518518518481,1.077768842906152,0.2708678308891118,0.7825177271156639
2008-04-23,0.13999999999999968,0.05999999999999983,8714.7585,0.49999999999999883,0.37037037037036824,1.0782138311955576,0.1996692279991757,0.7833100653220099
2008-04-24,0.06000000000000005,0.05999999999999983,8715.2339,0.21428571428571447,0.37037037037036824,1.078272648987852,0.08557719436411482,0.7836496573631373
2008-04-25,0.040000000000000036,0.010000000000000009,8715.7093,0.14285714285714296,0.06172839506172827,1.0783314667801467,0.009509095826985408,0.7836873918703873
2008-04-28,0.10999999999999988,0.1100000000000001,8717.1355,0.39285714285714235,0.6790123456790109,1.0785079201570305,0.28769721856040614,0.7848290474995953
2008-04-29,0.04999999999999982,0.22999999999999998,8717.610900000001,0.1785714285714279,1.4197530864197487,1.0785667379493251,0.2734461526987909,0.785914151280146
2008-04-30,0.0900000000000003,0.24,8718.0863,0.32142857142857245,1.481481481481477,1.0786255557416198,0.5136312170198191,0.787952370395304
2008-05-01,0.11999999999999966,0.30999999999999983,8716.175471428573,0.4285714285714273,1.9135802469135736,1.078389142788265,0.8843932123395768,0.7914618672696674
2008-05-02,0.3999999999999999,0.30000000000000004,8714.264642857142,1.4285714285714282,1.8518518518518468,1.07815272983491,2.852255899034145,0.8027803430594854
2008-05-06,0.2500000000000002,0.27,8706.621328571428,0.8928571428571436,1.6666666666666619,1.0772070780214913,1.6029867232462636,0.8091414014850659
2008-05-07,0.1299999999999999,0.34999999999999987,8704.7105,0.46428571428571386,2.1604938271604865,1.0769706650681365,1.0802946486022929,0.8134282850112654
2008-05-08,0.1100000000000001,0.27,8704.48417142857,0.3928571428571432,1.6666666666666619,1.0769426630763306,0.7051410293952151,0.8162264636993417
2008-05-09,0.09000000000000008,0.27,8704.257842857143,0.3214285714285717,1.6666666666666619,1.0769146610845246,0.5769185684381369,0.8185158230979057
2008-05-13,0.06000000000000005,0.2799999999999999,8703.35252857143,0.21428571428571447,1.7283950617283894,1.0768026531173003,0.398815797450851,0.8200984254687425
2008-05-14,0.05999999999999983,0.16000000000000003,8703.1262,0.21428571428571366,0.9876543209876516,1.076774651125494,0.2278888150530133,0.8210027461633973
2008-05-15,0.05999999999999983,0.17000000000000004,8703.627485714287,0.21428571428571366,1.0493827160493798,1.0768366715693796,0.2421458123899385,0.8219636422443097
2008-05-16,0.06000000000000005,0.15000000000000002,8704.128771428572,0.21428571428571447,0.9259259259259234,1.0768986920132648,0.2136703753994569,0.822811540559387
2008-05-19,0.07999999999999985,0.04999999999999993,8705.63262857143,0.28571428571428514,0.3086419753086407,1.077084753344921,0.09498101881348452,0.8231884493642024
2008-05-20,0.039999999999999813,0.050000000000000044,8706.133914285714,0.14285714285714218,0.30864197530864135,1.077146773788806,0.04749324399421511,0.8233769146181478
2008-05-21,0.11999999999999988,0.12,8706.6352,0.4285714285714281,0.7407407407407385,1.0772087942326916,0.3419710457881547,0.8247339425776246
2008-05-22,0.1399999999999999,0.10999999999999999,8704.009328571428,0.4999999999999996,0.6790123456790103,1.0768839142152788,0.36560873630765495,0.8261847708963057
2008-05-23,0.08000000000000007,0.050000000000000044,8701.383457142858,0.2857142857142859,0.30864197530864135,1.0765590341978664,0.09493465910034082,0.8265614957340055
2008-05-27,0.18000000000000016,0.04999999999999993,8690.879971428572,0.6428571428571433,0.3086419753086407,1.0752595141282157,0.21334514169210558,0.827408103439133
2008-05-28,0.09000000000000008,0.020000000000000018,8688.2541,0.3214285714285717,0.12345679012345653,1.074934634110803,0.042656136274238164,0.8275773738211736
2008-05-29,0.019999999999999796,0.0,8688.5699,0.07142857142857069,0.0,1.0749737057532234,0.0,0.8275773738211736
2008-05-30,0.010000000000000009,0.0,8688.8857,0.03571428571428574,0.0,1.0750127773956437,0.0,0.8275773738211736
2008-06-03,0.05999999999999983,0.06999999999999995,8690.1489,0.21428571428571366,0.4320987654320972,1.075169063965325,0.09955269110789983,0.8279724241827129
2008-06-04,0.0,0.06999999999999995,8690.4647,0.0,0.4320987654320972,1.0752081356077454,0.0,0.8279724241827129
2008-06-05,0.0,0.04999999999999993,8691.493957142857,0.0,0.3086419753086407,1.0753354781253017,0.0,0.8279724241827129
2008-06-06,0.029999999999999805,0.06000000000000005,8692.523214285715,0.10714285714285643,0.37037037037036963,1.075462820642858,0.042677096057255906,0.8281417777384956
2008-06-09,0.040000000000000036,0.030000000000000027,8695.610985714286,0.14285714285714296,0.18518518518518481,1.075844848195527,0.02846150392051655,0.8282547202143706
2008-06-10,0.020000000000000018,0.039999999999999925,8696.640242857144,0.07142857142857148,0.2469135802469124,1.0759721907130835,0.01897658184679152,0.8283300241105881
2008-06-11,0.05999999999999983,0.010000000000000009,8697.6695,0.21428571428571366,0.06172839506172827,1.0760995332306396,0.014234120809929023,0.8283865087169767
2008-06-12,0.0,0.040000000000000036,8697.39797142857,0.0,0.24691358024691307,1.076065938970824,0.0,0.8283865087169767
2008-06-13,0.010000000000000231,0.030000000000000027,8697.126442857143,0.03571428571428654,0.18518518518518481,1.0760323447110085,0.0071166160364486185,0.8284147492568039
2008-06-16,0.1100000000000001,0.05999999999999994,8696.311857142857,0.3928571428571432,0.3703703703703689,1.0759315619315617,0.15655088864083522,0.8290359829418866
2008-06-17,0.13999999999999968,0.039999999999999925,8696.04032857143,0.49999999999999883,0.2469135802469124,1.0758979676717462,0.1328269095891035,0.8295630738529545
2008-06-18,0.17999999999999994,0.040000000000000036,8695.7688,0.6428571428571426,0.24691358024691307,1.0758643734119306,0.17077212276379808,0.830240741006779
2008-06-19,0.08000000000000007,0.1100000000000001,8695.420257142858,0.2857142857142859,0.6790123456790109,1.0758212507333922,0.208713117426231,0.8310689676632323
2008-06-20,0.030000000000000027,0.10999999999999999,8695.071714285714,0.10714285714285723,0.6790123456790103,1.0757781280548535,0.0782642818029323,0.8313795402100694
2008-06-23,0.1399999999999999,0.17999999999999994,8694.026085714286,0.4999999999999996,1.1111111111111074,1.0756487600192384,0.59758264445513,0.8337508999102882
2008-06-24,0.010000000000000009,0.16000000000000003,8693.677542857142,0.03571428571428574,0.9876543209876516,1.0756056373406997,0.03794023412136499,0.8339014563948968
2008-06-25,0.020000000000000018,0.12,8693.329,0.07142857142857148,0.7407407407407385,1.0755625146621612,0.05690806955884438,0.8341272820677493
2008-06-26,0.05999999999999983,0.17000000000000004,8693.423428571428,0.21428571428571366,1.0493827160493798,1.07557419762409,0.24186192274615645,0.8350870516024563
2008-06-27,0.0,0.17999999999999994,8693.517857142857,0.0,1.1111111111111074,1.075585880586019,0.0,0.8350870516024563
2008-06-30,0.5000000000000002,0.039999999999999925,8693.801142857143,1.7857142857142863,0.2469135802469124,1.0756209294718053,0.47425966907927714,0.836969034416263
2008-07-01,0.06000000000000005,0.06000000000000005,8693.895571428571,0.21428571428571447,0.37037037037036963,1.075632612433734,0.08536766765347087,0.8373077950021895
2008-07-02,0.040000000000000036,0.030000000000000027,8693.99,0.14285714285714296,0.18518518518518481,1.075644295395663,0.028456198290890522,0.8374207164239788
2008-07-03,0.07000000000000006,0.1200000000000001,8693.886,0.2500000000000002,0.7407407407407393,1.0756314282303314,0.19919100522783892,0.8382111569209146
2008-07-07,0.040000000000000036,0.039999999999999925,8693.470000000001,0.14285714285714296,0.2469135802469124,1.0755799595690052,0.03793932837985894,0.8383617098113109
2008-07-08,0.050000000000000044,0.010000000000000009,8693.366,0.17857142857142871,0.06172839506172827,1.0755670924036735,0.01185589828487293,0.838408757026727
2008-07-09,0.07000000000000006,0.0,8693.262,0.2500000000000002,0.0,1.075554225238342,0.0,0.838408757026727
2008-07-10,0.08999999999999986,0.16999999999999993,8695.190285714287,0.3214285714285709,1.0493827160493792,1.075792798037306,0.3628666183855975,0.8398487039250826
2008-07-14,0.07000000000000006,0.3400000000000001,8702.90342857143,0.2500000000000002,2.0987654320987597,1.0767470892331616,0.56495989249888,0.8420906082603956
2008-07-15,0.15000000000000036,0.45999999999999996,8704.831714285714,0.5357142857142869,2.8395061728394975,1.0769856620321254,1.6382718403927818,0.848591686992113
2008-07-16,0.020000000000000018,0.43999999999999995,8706.76,0.07142857142857148,2.716049382716041,1.0772242348310894,0.20898530128998158,0.8494209937432636
2008-07-17,0.05999999999999983,0.24,8704.3718,0.21428571428571366,1.481481481481477,1.0769287601748887,0.3418821460872642,0.8507776689261496
2008-07-18,0.010000000000000009,0.13000000000000012,8701.9836,0.03571428571428574,0.8024691358024675,1.0766332855186875,0.030855892221655464,0.8509001129429022
2008-07-21,0.030000000000000027,0.050000000000000044,8694.819000000001,0.10714285714285723,0.30864197530864135,1.0757468615500851,0.03557363960152394,0.8510412781794162
2008-07-22,0.05999999999999983,0.1399999999999999,8692.4308,0.21428571428571366,0.8641975308641944,1.0754513868938842,0.1991576642396069,0.8518315863708432
2008-07-23,0.08000000000000007,0.19999999999999996,8690.0426,0.2857142857142859,1.234567901234564,1.0751559122376833,0.3792437080203459,0.8533365217201303
2008-07-24,0.10000000000000009,0.21999999999999997,8690.387828571429,0.35714285714285743,1.3580246913580205,1.0751986248637002,0.5214808145282485,0.8554058900317504
2008-07-25,0.16999999999999993,0.26,8690.733057142857,0.6071428571428569,1.6049382716049336,1.0752413374897172,1.047743984061846,0.8595636042542181
2008-07-28,0.040000000000000036,0.24,8691.768742857143,0.14285714285714296,1.481481481481477,1.0753694753677678,0.22759142335825722,0.8604667448231
2008-07-29,0.010000000000000231,0.16999999999999993,8692.113971428571,0.03571428571428654,1.0493827160493792,1.0754121879937846,0.04030424866819819,0.8606266823178151
2008-07-30,0.10000000000000009,0.1100000000000001,8692.4592,0.35714285714285743,0.6790123456790109,1.0754549006198015,0.2608025552649427,0.861661613092676
2008-07-31,0.040000000000000036,0.030000000000000027,8689.741199999999,0.14285714285714296,0.18518518518518481,1.0751186222027702,0.028442291592665845,0.8617744793291549
2008-08-01,0.08999999999999986,0.07999999999999985,8687.0232,0.3214285714285709,0.4938271604938248,1.0747823437857391,0.1706003720294813,0.8624514649324464
2008-08-04,0.05999999999999983,0.020000000000000018,8678.8692,0.21428571428571366,0.12345679012345653,1.0737735085346454,0.028406706574990476,0.8625641899585377
2008-08-05,0.11999999999999988,0.030000000000000027,8676.1512,0.4285714285714281,0.18518518518518481,1.0734372301176143,0.08519343096171517,0.8629022591290206
2008-08-06,0.03000000000000025,0.06000000000000005,8673.4332,0.10714285714285803,0.37037037037036963,1.073100951700583,0.04258337109922975,0.8630712407603668
2008-08-07,0.08000000000000007,0.030000000000000027,8674.729157142856,0.2857142857142859,0.18518518518518481,1.07326129107385,0.056786311697029024,0.863296583267101
2008-08-08,0.03000000000000025,0.030000000000000027,8676.025114285714,0.10714285714285803,0.18518518518518481,1.0734216304471174,0.021298048223157222,0.8633810993314787
2008-08-11,0.019999999999999796,0.1200000000000001,8679.912985714285,0.07142857142857069,0.7407407407407393,1.073902648566919,0.05682024595592094,0.8636065764979705
2008-08-12,0.010000000000000009,0.1100000000000001,8681.208942857143,0.03571428571428574,0.6790123456790109,1.0740629879401864,0.02604650103029549,0.8637099356290431
2008-08-13,0.029999999999999805,0.20999999999999996,8682.5049,0.10714285714285643,1.2962962962962923,1.0742233273134536,0.1491976843490893,0.8643019899320157
2008-08-14,0.08000000000000007,0.20999999999999996,8683.459128571429,0.2857142857142859,1.2962962962962923,1.0743413870903065,0.3979042174408533,0.8658809749218603
2008-08-15,0.07000000000000028,0.1299999999999999,8684.413357142857,0.250000000000001,0.8024691358024661,1.074459446867159,0.2155551359455721,0.8667363524454539
2008-08-18,0.07000000000000006,0.06000000000000005,8687.276042857142,0.2500000000000002,0.37037037037036963,1.0748136261977175,0.09951978020349225,0.8671312722081661
2008-08-19,0.1499999999999999,0.07000000000000006,8688.23027142857,0.5357142857142854,0.43209876543209785,1.0749316859745703,0.2488267791607795,0.8681186800619787
2008-08-20,0.10000000000000009,0.1499999999999999,8689.1845,0.35714285714285743,0.9259259259259226,1.0750497457514232,0.3555058683040411,0.8695294176346138
2008-08-21,0.07000000000000028,0.16000000000000014,8690.284385714285,0.250000000000001,0.9876543209876523,1.0751858266296113,0.26547798188385513,0.8705829016897084
2008-08-22,0.06000000000000005,0.1399999999999999,8691.384271428571,0.21428571428571447,0.8641975308641944,1.0753219075077995,0.1991336865755179,0.8713731147316748
2008-08-26,0.1299999999999999,0.08999999999999986,8695.783814285714,0.46428571428571386,0.555555555555553,1.075866231020552,0.27750517863625196,0.8724743257580091
2008-08-27,0.040000000000000036,0.040000000000000036,8696.8837,0.14285714285714296,0.24691358024691307,1.07600231189874,0.03795422616926767,0.8726249377666173
2008-08-28,0.030000000000000027,0.020000000000000018,8692.9269,0.10714285714285723,0.12345679012345653,1.0755127657469707,0.014226359335277373,0.8726813915735033
2008-08-29,0.08000000000000007,0.019999999999999796,8688.9701,0.2857142857142859,0.12345679012345516,1.0750232195952014,0.03791969028554455,0.8728318665349539
